volact,cntry,female,yrbrn,eduyrs,domicil,married,children,houseperson,wkhtot,church,sclmeet,social_trust,tolerance,self_realisation,solidarity,tvpol,tvtot,political_interest,trust_exe,trust_leg,trstep,stfdem,dweight
1,"AL",0,1994,11,3,0,0,0,2,3,6,21,5,4,5,2,6,3,6.5,4.5,9,6,3.2298676
0,"AL",1,1952,4,3,1,0,0,40,1,4,19,5,5,6,4,7,1,0,0,0,0,.05887015
0,"AL",1,1981,8,3,1,1,0,20,3,2,6,6,6,6,0,7,3,10,0,3,0,.14354967
0,"AL",1,,4,2,1,0,0,,5,4,19,,,,5,6,3,5,7.5,10,5,.14128836
0,"AL",0,1966,12,3,1,1,0,42,3,7,15,4,4,4,3,7,2,4.5,2,6,0,1.4354967
1,"AL",1,1963,12,4,1,1,0,45,3,4,16,2,4,5,4,6,3,9,6,9,7,.80771862
0,"AL",0,1971,12,3,1,1,0,70,1,7,3,5,5,5,4,7,2,4,2.5,6,0,.0958217
0,"AL",1,1966,8,4,1,1,0,70,2,2,11,6,5,6,3,1,1,4,0,8,2,1.6154372
0,"AL",1,1971,12,4,1,1,0,0,5,3,18,3,6,5,2,4,3,7,1,10,0,.35455459
1,"AL",0,1991,10,3,0,0,0,0,4,7,16,5,5,5,1,7,3,5,4.5,10,7,2.8364367
1,"AL",0,1987,12,3,0,0,0,30,3,7,16,1,6,6,7,7,4,8.5,9,8,10,1.0749498
0,"AL",1,1988,16,3,1,1,0,0,3,4,21,5,4,4,2,7,2,5,2,8,5,1.7742981
0,"AL",1,1943,4,4,0,1,1,0,5,2,18,,,,0,7,1,4.5,3,10,10,.35455459
0,"AL",1,1982,12,4,1,1,0,0,2,4,23,5,5,5,5,5,1,3,0,0,0,.11818486
0,"AL",0,1996,10,1,0,0,0,0,1,6,22,5,5,5,0,5,2,10,,,10,2.6614471
0,"AL",1,1976,12,4,1,1,0,0,1,3,28,5,6,5,2,7,1,9,7.5,9,8,2.1498996
0,"AL",1,1964,8,4,1,1,0,0,1,2,14,6,6,6,2,2,3,3,0,0,0,.23636973
1,"AL",1,1935,4,1,1,0,0,70,2,2,10,6,5,6,7,7,2,2.5,0,5,0,1.0350072
0,"AL",1,1963,8,3,1,1,0,60,4,7,30,5,5,5,0,7,1,0,0,0,10,.21873214
0,"AL",0,1964,11,3,0,0,0,80,2,7,12,5,5,5,0,0,,0,0,5,1,.14582143
0,"AL",1,1988,16,4,0,0,0,20,4,6,14,5,6,5,3,7,3,6,4.5,7,1,.23175985
0,"AL",1,1976,8,3,1,1,0,40,2,3,21,5,6,5,1,5,2,5,4,8,8,.36455357
1,"AL",0,1950,10,4,1,1,0,70,3,4,18,5,6,5,5,7,2,0,3,10,0,1.1902932
0,"AL",1,1948,8,4,1,0,0,75,2,2,10,5,5,6,7,7,2,0,0,,2,.80432199
0,"AL",1,1967,12,4,1,1,0,0,1,3,21,4,5,5,5,5,3,1,.5,8,4,2.010805
0,"AL",1,1950,0,4,0,1,0,50,2,7,17,5,3,5,7,7,1,3.5,0,,7,.53941631
1,"AL",0,1991,12,4,0,0,0,40,1,3,7,5,6,5,1,6,1,5,0,0,0,1.608644
1,"AL",1,1949,12,4,1,0,0,40,1,3,23,5,5,5,3,4,1,7.5,1,10,0,.53941631
0,"AL",1,1959,4,4,1,0,0,0,3,4,21,2,5,3,3,6,4,10,9.5,10,8,.80432199
1,"AL",1,1986,8,4,1,1,0,0,2,4,25,5,4,4,2,4,2,7.5,5.5,8,5,.80432199
0,"AL",1,1956,12,3,1,1,0,30,1,5,5,5,5,6,2,4,2,10,8.5,10,8,.14373254
0,"AL",0,1993,12,4,0,0,0,0,3,6,22,6,1,6,7,4,3,8.5,7.5,8,10,1.6182489
0,"AL",1,1953,7,4,1,1,0,0,5,5,16,3,,,2,6,1,1.5,1,0,7,1.3543971
1,"AL",0,1967,12,3,1,1,0,70,2,7,10,5,6,6,1,2,3,2,4,8,2,1.4816995
0,"AL",1,1978,17,4,1,1,0,40,1,2,12,5,5,5,2,4,2,5,3.5,10,7,.80912446
0,"AL",1,1958,12,3,0,1,0,0,3,2,20,5,4,5,7,6,3,4,3.5,10,5,.09877996
1,"AL",0,1937,7,4,1,0,0,58,3,3,9,,5,5,6,7,2,2.5,3,8,4,.54175885
0,"AL",1,1936,4,3,1,0,0,48,1,6,17,5,5,6,1,1,2,9.5,4,8,7,.09877996
0,"AL",1,1947,4,4,1,0,0,72,2,3,26,4,5,6,0,1,1,8.5,7.5,10,6,.80432199
0,"AL",1,1956,12,3,1,0,0,48,1,3,21,5,5,5,2,3,1,5,0,8,0,2.3707191
0,"AL",1,1949,12,3,1,1,0,48,1,5,13,3,4,3,2,2,1,5,0,10,,.49389982
0,"AL",0,1990,10,4,0,0,0,40,1,7,13,5,5,5,0,0,1,1.5,0,,3,1.6252765
1,"AL",1,1987,17,4,0,0,0,40,3,6,8,5,5,5,1,3,2,8,7,10,7,.80912446
0,"AL",0,1936,7,3,1,0,0,50,4,6,11,4,5,6,5,5,3,7,3,8,3,.21915826
0,"AL",0,1941,0,4,0,0,0,55,3,5,16,4,4,5,2,4,3,3,5,5,3,.38687514
0,"AL",0,,7,4,,0,0,49,1,3,8,5,5,5,1,4,1,7.5,10,,7,1.1606254
0,"AL",1,1943,8,3,0,1,0,60,7,2,12,3,4,6,1,3,2,1,2.5,9,2,.13975575
0,"AL",0,1982,10,3,0,0,0,40,1,7,3,4,6,5,5,7,2,3.5,5.5,10,4,.39596255
0,"AL",1,1992,8,4,0,0,1,0,2,1,3,3,5,5,2,3,1,0,0,5,0,1.0649945
0,"AL",0,1943,4,4,1,0,0,,3,3,20,,,,3,4,3,3.5,0,8,0,.54175885
0,"AL",1,1991,8,4,0,0,0,0,5,4,9,5,4,6,1,7,1,.5,0,10,0,2.129989
1,"AL",1,1996,11,3,0,0,0,0,1,7,18,5,5,5,1,4,3,10,0,10,0,.59394383
1,"AL",1,1996,9,4,0,0,0,0,6,2,21,4,5,2,3,7,2,8.5,6,10,7,.81263827
0,"AL",1,1942,4,4,0,1,0,,4,4,12,,,,4,7,1,.5,1,1,1,.81263827
0,"AL",1,1963,8,4,1,1,0,0,4,4,28,3,5,5,6,7,3,10,0,,,1.0649945
0,"AL",1,1943,8,3,1,1,0,52,1,4,13,3,4,4,7,5,2,2.5,0,8,5,.29697191
0,"AL",0,1979,10,3,1,1,0,0,1,6,6,4,3,5,1,5,1,1,0,1,3,.49495319
0,"AL",0,1990,12,1,0,0,0,70,5,7,20,5,6,5,2,7,1,3.5,0,5,5,.43495123
