volact,cntry,female,yrbrn,eduyrs,domicil,married,children,houseperson,wkhtot,church,sclmeet,social_trust,tolerance,self_realisation,solidarity,tvpol,tvtot,political_interest,trust_exe,trust_leg,trstep,stfdem,dweight
1,"AT",0,1940,20,1,0,0,0,,5,5,15,5,5,5,1,1,4,3,0,3,5,.4734
0,"AT",1,1939,10,3,1,0,0,40,3,5,19,5,5,5,3,5,2,5,2.5,4,5,.9469
0,"AT",0,1930,,1,1,0,0,40,4,3,18,4,4,4,2,4,3,8,6,7,8,.9469
1,"AT",0,1972,18,3,1,1,0,42,1,6,17,4,6,6,2,6,3,6,3,5,0,.9469
0,"AT",0,1935,12,3,0,0,0,60,3,1,6,5,3,4,5,7,4,0,2.5,0,7,.4497
0,"AT",1,1945,11,3,1,0,0,,4,4,26,6,4,4,3,4,3,9,6.5,5,5,.8994
0,"AT",1,1928,9,3,0,0,0,6,5,6,13,5,5,5,2,6,1,6.5,0,3,,.4497
0,"AT",0,1956,14,3,0,1,0,38,1,3,14,5,6,2,1,3,2,4,2,,,.8994
0,"AT",0,1974,14,2,1,0,0,40,2,5,13,6,6,4,1,3,3,6.5,5.5,4,3,.8994
0,"AT",0,1966,13,3,1,1,0,,4,7,33,4,4,4,2,2,3,6.5,6,7,10,1.3491
0,"AT",0,1929,15,3,0,0,0,70,1,2,4,5,5,3,0,0,3,5,6,0,4,.4497
0,"AT",1,1927,16,3,0,0,0,52,5,5,19,5,5,6,1,3,2,4,2,1,5,.4497
0,"AT",1,1978,12,3,1,1,0,9,2,6,17,4,5,5,1,3,2,8,5,7,6,.8994
0,"AT",1,1947,11,3,1,0,0,40,1,4,23,5,5,4,2,3,4,9,8,4,8,.8994
0,"AT",1,1955,12,3,1,1,0,15,3,4,12,4,4,4,2,3,2,5,5,5,5,1.7988
0,"AT",0,1980,14,1,1,0,0,35,6,4,19,4,4,5,0,2,2,5,3.5,3,5,.8994
1,"AT",0,1936,13,3,0,0,0,60,4,3,14,5,6,5,1,3,3,1,3.5,5,0,.4497
0,"AT",0,1955,12,4,0,0,0,45,1,5,22,4,4,5,2,5,2,8.5,4.5,4,5,.6596
0,"AT",1,1953,12,4,0,1,0,40,1,3,14,6,6,5,5,5,3,7,5,,5,.9895
0,"AT",1,1927,9,4,0,1,0,,4,7,30,4,4,5,2,7,3,10,9.5,5,9,.6596
0,"AT",0,1961,12,4,1,1,0,38,4,5,16,1,5,3,2,4,3,6,2.5,1,3,1.3193
0,"AT",0,1964,12,4,1,1,0,40,2,5,3,2,4,4,0,1,1,0,0,0,,.6596
0,"AT",0,1951,12,4,0,0,0,38,,3,7,5,5,5,1,1,4,0,4,4,,.3298
0,"AT",0,1943,11,4,1,1,0,38,2,5,13,2,5,4,3,4,3,10,4,0,5,.6596
0,"AT",1,1968,9,4,1,1,0,20,3,7,19,6,6,6,2,7,2,7.5,2.5,4,4,.6596
0,"AT",0,1938,11,4,0,1,0,40,5,6,10,4,5,5,2,3,3,9,4.5,9,8,.9895
0,"AT",0,1966,11,4,1,1,0,22,3,7,20,4,3,4,7,7,3,7,3,3,6,.6596
1,"AT",1,1975,9,3,0,0,0,40,1,1,3,4,4,6,2,2,1,9.5,9,9,10,.3298
1,"AT",0,1983,14,3,0,0,0,0,3,6,25,6,6,5,1,3,3,7,6,7,8,1.3193
0,"AT",0,1987,10,4,0,0,0,0,1,6,26,3,3,3,0,4,1,3.5,2.5,5,5,1.7367
0,"AT",0,1957,14,3,0,0,0,60,2,4,24,6,6,5,1,5,3,5,5,5,7,.4342
0,"AT",1,1958,9,4,0,0,0,30,5,2,15,3,4,4,1,6,2,7,7,9,8,.8683
1,"AT",1,1941,11,4,1,0,0,25,2,4,24,5,6,6,0,0,3,10,9,10,9,.8683
0,"AT",0,1969,15,4,1,1,0,45,3,6,27,3,6,4,0,4,3,7,8.5,10,8,.8683
0,"AT",1,1928,9,4,0,0,0,35,6,4,18,4,4,5,2,7,2,5,3,5,5,.4342
0,"AT",0,1961,12,4,1,1,0,40,5,6,26,5,5,5,0,0,3,4,3,4,3,1.7344
0,"AT",0,1936,,4,1,1,0,70,4,5,23,5,5,5,2,2,2,8.5,7,7,8,2.168
1,"AT",1,1941,12,4,1,0,0,50,1,4,20,5,4,6,1,2,1,8.5,2.5,0,7,.8672
0,"AT",0,1950,12,5,1,1,0,,1,6,25,3,5,5,2,3,3,2.5,5.5,6,3,1.3008
1,"AT",0,1955,11,4,1,1,0,42,4,7,17,4,4,5,1,1,3,8,5.5,4,8,1.7344
1,"AT",1,1959,25,5,1,1,0,44,1,6,14,6,6,6,2,2,4,5,1.5,4,3,1.3008
1,"AT",1,1970,13,4,1,1,0,45,5,7,16,4,5,5,4,7,2,8,5,3,7,.9995
1,"AT",0,1918,11,4,1,0,0,60,5,3,15,4,6,5,2,7,2,8,3.5,,6,.9995
1,"AT",1,1951,13,4,1,0,0,20,1,6,23,4,5,5,3,5,3,9,6.5,3,9,.9995
1,"AT",0,1968,12,5,0,0,0,42,1,6,16,4,6,3,1,3,3,8,6,3,8,1.4992
1,"AT",0,1968,20,4,1,1,0,50,5,5,21,6,6,4,3,3,3,7.5,6.5,5,3,.9995
1,"AT",1,1976,13,4,1,1,0,22,3,6,21,5,6,5,1,1,3,5.5,6,6,7,.9995
0,"AT",0,1973,11,4,0,0,0,45,1,4,13,4,5,3,5,7,3,5.5,5.5,4,7,.9995
1,"AT",0,1948,14,4,1,1,0,32,7,4,27,5,5,6,2,2,4,7,5.5,5,3,1.9997
0,"AT",1,1940,12,4,0,0,0,40,7,7,18,4,5,3,1,4,2,5,5,5,5,.4999
0,"AT",0,1936,11,4,0,0,0,38,4,6,17,5,5,4,3,4,2,2,0,,2,.9999
1,"AT",0,1985,12,4,0,0,0,0,2,6,29,5,5,6,2,5,2,6,4,5,3,1.9997
0,"AT",0,1946,8,4,0,1,0,40,4,5,22,6,5,6,2,4,3,6.5,6.5,6,7,1.4998
1,"AT",0,1973,12,4,0,1,0,42,1,6,21,5,4,4,2,4,3,7,5.5,4,7,.9999
0,"AT",1,1956,12,4,1,1,0,45,2,7,15,5,5,6,2,3,2,3.5,2.5,3,5,1.9997
0,"AT",1,1949,11,4,1,0,0,20,1,6,11,4,6,5,2,2,3,4.5,1.5,,3,.9999
1,"AT",1,1961,13,4,0,1,0,32,7,6,21,5,3,5,1,2,2,4,0,1,3,1.4998
0,"AT",0,1960,9,4,1,1,0,43,1,5,8,2,5,2,0,0,2,0,0,0,0,.9999
1,"AT",1,1960,13,4,0,0,0,43,1,5,18,6,6,4,3,7,4,3.5,2.5,1,5,.9999
0,"AT",1,1948,11,4,0,0,0,40,7,5,20,4,5,5,1,4,2,2.5,2.5,3,3,.4999
0,"AT",1,1953,12,4,1,1,0,60,2,4,21,4,6,4,2,4,3,7,4,9,5,.9342
0,"AT",0,1951,12,4,1,1,0,60,3,6,20,4,6,6,2,4,3,5.5,7,4,6,.9342
1,"AT",0,1940,11,4,1,0,0,40,3,4,23,3,3,4,4,7,3,8,7,7,8,.6228
1,"AT",1,1963,12,4,0,1,0,50,5,4,13,1,1,2,0,1,2,10,7.5,5,8,.6228
1,"AT",0,1968,12,4,1,1,0,40,3,6,10,3,5,4,2,2,1,8.5,3.5,0,1,.6228
0,"AT",0,1962,9,4,0,0,0,40,3,6,16,4,5,5,2,6,2,5.5,5.5,5,,.3114
1,"AT",0,1962,11,3,1,1,0,40,5,6,16,5,5,4,2,4,4,8.5,9,6,10,.9972
1,"AT",0,1928,19,3,0,0,0,50,5,4,18,6,6,5,0,0,3,10,10,10,8,.3324
1,"AT",0,1916,16,3,0,0,0,47,2,2,25,4,5,4,2,7,2,8,8,8,7,.3324
1,"AT",1,1985,12,3,0,0,0,0,2,7,22,6,4,6,1,3,2,4,4,,8,1.3297
1,"AT",1,1964,17,3,0,1,0,22,5,6,27,6,6,6,0,0,4,9,4.5,5,8,.3778
1,"AT",1,1966,16,3,1,1,0,30,5,4,28,4,4,5,1,1,3,5.5,5.5,5,5,1.1334
1,"AT",0,1985,11,3,0,0,0,40,4,6,23,5,4,5,2,4,2,8.5,7.5,8,5,1.889
1,"AT",0,1928,13,3,1,0,0,40,4,5,27,4,5,3,2,6,3,3.5,5.5,3,5,.7556
1,"AT",0,1929,8,3,1,0,0,70,2,2,3,5,6,6,1,2,2,6,2,7,6,.7556
0,"AT",1,1947,11,4,1,0,0,40,1,3,33,,,,3,7,2,5,5,5,5,.6772
1,"AT",1,1948,11,4,1,0,0,30,3,4,23,6,6,6,1,3,2,5,5,5,0,.6772
0,"AT",1,1926,8,4,0,0,0,0,1,1,21,4,2,6,2,7,2,5.5,3,5,5,.3386
1,"AT",1,1965,11,4,0,1,0,,3,4,22,5,6,4,2,2,2,7,6,7,6,.3386
1,"AT",1,1952,11,4,1,1,0,45,4,6,21,4,5,5,2,6,3,5.5,3.5,4,7,1.0158
1,"AT",0,1943,12,4,1,1,0,39,2,6,19,5,5,3,2,3,3,3,2.5,0,3,1.693
1,"AT",1,1942,11,4,1,1,0,70,4,6,24,6,5,5,2,3,3,6.5,6,5,8,1.3544
0,"AT",0,1958,11,4,1,0,0,45,3,5,13,4,4,4,2,2,3,6,4,3,6,1.0158
0,"AT",0,1929,11,4,1,0,0,38,2,6,13,5,6,5,1,2,2,7.5,5,5,8,.7721
0,"AT",1,1920,8,4,0,0,0,,4,6,16,5,6,5,1,2,4,3.5,4,0,5,.386
0,"AT",1,1933,9,4,0,0,0,0,5,6,18,5,6,5,1,6,2,5,3,5,8,.386
0,"AT",1,1968,10,4,1,1,0,40,3,4,21,6,3,4,2,5,2,7.5,1.5,3,5,1.1581
0,"AT",1,1968,14,4,0,0,0,50,3,6,21,5,3,5,3,7,3,9.5,8,8,6,1.9302
0,"AT",1,1954,13,4,1,1,0,48,2,4,14,4,5,4,4,4,3,9,3,5,5,1.5441
0,"AT",1,1960,13,4,1,1,1,20,4,5,13,4,5,5,2,2,2,4.5,4.5,2,5,.7721
0,"AT",0,1931,14,4,1,0,0,,2,6,16,5,6,4,2,6,2,8,4,6,8,.7341
0,"AT",1,1918,10,4,0,0,0,0,5,5,26,4,5,4,1,3,2,8.5,8.5,5,7,.3671
0,"AT",0,1940,9,4,1,0,0,0,3,3,15,4,3,4,1,2,3,9,5.5,5,8,1.1012
0,"AT",0,1944,11,4,1,0,0,45,4,5,33,5,6,5,1,2,3,7.5,6.5,4,5,.7341
0,"AT",0,1960,15,4,0,0,0,35,2,4,22,4,4,4,3,4,1,4,2.5,5,2,.3671
1,"AT",0,1943,13,4,1,0,0,50,2,5,25,4,6,5,2,3,3,6.5,4,2,8,.7341
1,"AT",1,1985,12,3,0,0,0,0,2,6,18,5,6,6,1,5,3,6.5,4.5,7,4,1.1183
1,"AT",0,1975,11,4,0,0,0,43,2,6,23,3,6,4,1,4,2,8.5,4.5,3,6,1.4911
0,"AT",0,1986,11,3,0,0,0,40,2,7,20,6,6,5,2,7,2,5.5,3.5,3,6,1.1183
1,"AT",1,1959,9,4,1,1,0,38,4,6,12,4,5,5,1,1,2,6.5,2.5,3,8,1.1183
0,"AT",0,1963,12,4,1,1,0,45,6,6,23,4,5,4,2,4,2,9,1,5,2,1.1183
1,"AT",1,1939,9,4,0,0,0,0,3,5,15,4,4,4,1,4,2,8,5.5,3,8,.3728
1,"AT",1,1970,12,4,1,1,0,20,2,7,16,5,6,1,1,3,2,6.5,4.5,4,8,.7456
1,"AT",1,1947,11,3,1,1,0,24,4,6,13,4,4,4,2,4,2,6,3.5,3,10,1.1183
1,"AT",1,1979,11,4,1,1,0,20,4,7,25,4,5,4,1,5,1,8.5,5.5,3,8,.7456
1,"AT",0,1963,11,4,1,0,0,40,2,6,16,5,5,4,2,6,2,5.5,5.5,5,7,1.1183
0,"AT",0,1984,13,3,0,0,0,,1,6,13,6,6,2,3,4,3,6.5,3,5,7,1.1049
1,"AT",0,1968,16,3,1,1,0,48,1,6,24,5,5,5,1,3,2,6.5,7,8,9,1.1049
0,"AT",1,1925,12,3,0,0,0,45,6,2,17,3,3,3,1,5,1,6,5,6,8,.3683
0,"AT",1,1980,16,3,0,0,0,40,4,6,14,6,5,6,1,3,2,5.5,5,8,7,1.8414
0,"AT",1,1973,16,3,0,0,0,45,1,7,17,6,6,5,0,0,1,1,1,4,6,.3683
1,"AT",0,,13,2,0,0,0,37,1,3,15,5,5,5,2,4,4,3,0,0,2,.7952
0,"AT",1,1964,13,4,1,1,0,35,3,3,18,3,5,4,2,3,3,7,4.5,,6,1.1929
0,"AT",0,1963,9,4,1,1,0,40,2,6,16,5,4,5,1,2,2,1,2.5,2,5,1.9881
0,"AT",0,1956,,5,1,1,0,48,1,7,11,6,6,5,2,2,3,7.5,4.5,5,9,1.5905
0,"AT",0,1957,9,3,0,0,0,40,4,5,14,4,5,5,2,4,2,5.5,5,5,2,.3976
0,"AT",1,1934,8,4,0,0,0,,2,4,26,5,5,6,1,7,2,5.5,4,3,4,1.1484
0,"AT",1,1963,15,4,1,1,0,0,3,5,15,6,6,6,3,7,2,8,5.5,7,1,1.5312
0,"AT",1,1956,11,4,1,1,0,41,2,6,33,6,6,6,4,6,4,10,7.5,2,5,1.914
0,"AT",1,1976,12,4,0,1,0,39,3,7,16,6,6,3,1,4,1,3,0,0,6,.7656
0,"AT",1,1987,9,4,0,0,0,38,3,7,15,5,5,4,1,3,2,6.5,6,4,9,1.5312
0,"AT",1,1959,11,4,1,1,0,,2,6,13,6,6,6,2,7,2,4,3,3,2,1.5312
1,"AT",1,1954,18,5,0,0,0,20,5,4,8,5,5,4,0,0,3,0,0,0,2,.3828
1,"AT",1,1969,15,4,1,1,0,44,5,6,16,6,6,6,1,4,2,4,3,2,2,.7656
0,"AT",1,1963,14,4,0,1,0,40,3,6,25,6,6,6,0,0,4,4,3,,3,1.5312
0,"AT",1,1958,8,4,0,1,0,65,2,5,21,2,5,6,2,6,2,6,8,8,0,.7656
1,"AT",0,1959,18,3,1,1,0,40,4,3,24,6,5,5,3,6,4,3,2,2,4,1.5308
1,"AT",0,1961,,2,1,1,0,70,7,7,22,6,5,5,2,3,2,2,.5,1,5,1.5308
1,"AT",1,1961,13,2,1,1,0,28,3,3,24,5,5,5,2,4,2,7,2,,6,1.9135
1,"AT",0,1962,12,4,1,1,0,,2,4,18,3,4,4,3,3,1,7.5,3,1,5,1.1481
0,"AT",0,1950,12,5,1,1,0,39,2,3,21,4,3,6,2,2,3,6.5,3.5,1,3,1.1481
0,"AT",1,1961,12,3,1,1,0,39,4,5,22,5,6,4,1,2,4,5,5,5,5,1.1481
0,"AT",0,1988,13,3,0,0,0,50,5,6,18,5,5,4,2,2,2,9,0,0,3,1.4356
0,"AT",1,1931,8,3,1,0,0,,5,5,9,6,6,6,3,7,4,7.5,5.5,5,5,.7178
1,"AT",0,1978,10,1,0,0,0,40,4,6,15,4,4,5,0,0,4,6,2.5,5,3,.3589
0,"AT",0,1977,20,1,0,0,0,50,4,6,17,6,6,6,2,3,3,6,3.5,7,2,.3589
1,"AT",1,1982,16,3,0,0,0,0,5,6,15,6,6,5,1,3,2,4,4,5,4,2.1533
0,"AT",0,1982,12,5,0,0,0,40,2,6,13,3,5,4,2,7,3,6,4.5,5,4,1.7944
0,"AT",0,1958,,3,0,1,0,50,1,6,19,3,6,6,2,7,3,6.5,1,,5,.7178
0,"AT",1,1955,16,3,1,1,0,50,2,7,3,5,6,2,2,2,2,6.5,3,2,0,1.0767
1,"AT",0,1957,13,3,1,1,0,45,4,5,22,4,5,3,0,0,3,7,4,5,5,1.7944
1,"AT",1,1950,9,1,0,1,0,,6,4,32,6,6,6,1,2,1,0,0,1,0,1.4356
0,"AT",0,1981,13,5,0,0,0,50,2,7,19,4,6,4,2,5,4,1.5,2.5,0,6,1.7944
