volact,cntry,female,yrbrn,eduyrs,domicil,married,children,houseperson,wkhtot,church,sclmeet,social_trust,tolerance,self_realisation,solidarity,tvpol,tvtot,political_interest,trust_exe,trust_leg,trstep,stfdem,dweight
0,"AT",0,1949,11,3,1,0,0,45,2,5,24,4,6,6,1,1,2,10,4.5,,8,.9452
1,"AT",0,1953,14,3,0,1,0,60,2,6,12,4,6,3,2,3,4,6.5,0,0,5,.4726
0,"AT",1,1940,9,3,1,0,0,38,4,5,14,5,4,5,3,7,3,6,4,7,5,.9452
1,"AT",0,1959,18,3,1,1,0,40,4,5,23,6,4,3,1,1,3,9.5,6,7,7,.9452
1,"AT",1,1962,15,3,0,,0,20,4,5,25,6,6,6,0,0,2,5.5,5,4,7,1.8905
0,"AT",1,1940,11,3,0,1,0,30,1,5,13,2,6,4,6,6,4,5.5,0,2,0,.9452
1,"AT",1,1928,10,3,0,0,0,55,6,4,22,5,5,4,2,4,2,6,5.5,5,8,.4726
0,"AT",1,1962,17,3,1,1,0,40,2,6,20,6,5,6,2,3,3,7,6.5,6,9,1.4178
0,"AT",0,1956,16,3,0,0,0,50,2,7,22,6,6,6,2,2,2,7.5,4,2,4,3.3083
1,"AT",1,1951,8,4,1,1,0,42,2,6,13,6,5,5,3,7,2,4,2.5,,,1.9201
1,"AT",1,1969,12,4,1,1,0,30,4,6,14,6,6,6,1,3,2,4.5,1,0,3,.96
0,"AT",1,1956,9,4,1,0,0,15,5,5,10,6,6,6,2,2,1,4,4,3,3,.96
0,"AT",1,1958,12,4,1,1,0,26,2,5,7,6,6,6,1,7,3,1,0,0,2,1.9201
0,"AT",1,1973,12,4,1,1,1,40,2,7,15,6,6,6,1,7,3,9,5,5,5,.96
1,"AT",0,1943,8,4,0,0,0,45,3,3,19,2,6,6,1,4,3,6,6.5,5,6,.48
0,"AT",0,1979,12,2,0,0,0,38,2,7,24,4,6,4,,5,1,5,5,6,5,.3397
0,"AT",1,1927,8,4,0,1,0,50,5,5,12,5,4,3,4,7,3,8.5,7.5,7,6,.6795
0,"AT",1,1975,17,2,0,0,0,38,3,7,20,3,5,2,1,5,1,7,5,6,5,.3397
1,"AT",0,1942,8,4,1,0,0,60,4,5,19,3,3,1,3,4,4,7.5,4,2,6,.6795
1,"AT",1,1965,15,5,1,1,0,40,6,6,24,6,3,3,1,1,3,9,5,5,5,.6795
0,"AT",1,1926,8,4,0,0,0,50,5,6,19,4,3,4,4,7,2,8.5,6,6,6,.3397
0,"AT",1,1977,10,5,0,0,0,43,3,7,23,2,4,4,2,3,3,10,2.5,5,3,1.6987
0,"AT",1,1925,8,4,0,1,0,0,3,4,14,2,3,4,5,7,1,7.5,5.5,3,8,1.0192
0,"AT",1,1925,9,4,0,0,0,45,5,5,15,4,5,4,3,6,1,7,4.5,,3,.3397
0,"AT",1,1943,12,4,1,1,0,60,4,7,15,1,3,4,3,4,3,9,5,7,10,1.0192
1,"AT",1,1952,15,4,1,1,0,25,5,6,12,6,2,6,4,7,3,9.5,9,10,9,1.359
0,"AT",1,1958,19,4,0,1,0,8,2,7,20,5,5,5,4,4,3,3.5,3,5,2,.7706
0,"AT",0,1926,8,4,0,0,0,,4,4,16,5,5,5,3,6,3,2,0,0,8,.3853
0,"AT",1,1972,11,4,0,0,0,40,2,6,21,5,5,5,1,2,3,7.5,3.5,6,5,1.5411
0,"AT",0,1982,14,4,0,0,0,0,4,6,17,3,5,5,2,7,2,5.5,5,6,6,1.1558
1,"AT",1,1978,9,4,0,1,0,39,1,4,20,5,2,4,1,3,2,4.5,2.5,2,4,1.5411
0,"AT",1,1952,12,4,1,0,0,42,3,3,21,4,1,5,1,2,3,5,1.5,6,0,.7706
0,"AT",1,1933,15,4,0,0,0,27,4,4,26,3,5,5,2,7,3,7.5,6.5,,10,.3853
1,"AT",0,1937,8,4,0,0,0,50,5,4,31,5,5,5,2,4,2,9,10,8,10,.3853
0,"AT",0,1939,9,4,0,0,0,42,3,6,13,5,5,5,4,5,2,9.5,2.5,6,6,.3853
0,"AT",1,1961,10,4,1,1,0,20,3,3,25,5,5,4,4,4,3,7,4.5,4,4,1.1558
1,"AT",1,1945,12,4,1,1,0,48,3,3,14,4,5,5,1,6,3,7,5,6,8,1.1558
0,"AT",0,1933,11,3,1,0,0,50,3,4,20,4,5,4,3,7,3,7.5,7,6,8,.9152
0,"AT",0,1959,16,3,1,1,0,50,3,4,22,5,6,4,2,3,4,6,6.5,6,8,.9152
0,"AT",0,1962,11,3,0,0,0,,2,6,22,5,6,4,1,2,3,4,4.5,5,7,.9152
0,"AT",1,1976,12,3,1,0,0,40,2,,19,4,4,5,1,2,2,7,4,5,4,.9152
0,"AT",1,1961,9,3,0,0,0,0,2,6,21,5,4,4,1,6,2,6.5,5.5,6,8,.9152
0,"AT",0,1934,11,3,1,0,0,48,3,4,14,4,4,5,2,7,3,7,6.5,8,9,.9152
1,"AT",0,1963,13,4,1,1,0,46,5,7,19,4,4,4,2,4,3,5,1,0,2,1.217
0,"AT",1,1928,9,4,0,0,0,30,4,3,7,4,4,5,1,5,2,8.5,3.5,3,4,.3042
0,"AT",1,1960,9,4,1,1,0,20,7,3,12,3,3,4,2,3,2,4,1.5,2,3,1.5212
1,"AT",0,1950,16,4,1,1,0,40,5,6,10,5,6,5,1,2,4,8,5.5,3,8,1.5212
0,"AT",1,1944,13,4,1,0,0,40,5,5,24,5,4,5,2,5,3,9,8,10,9,.9127
0,"AT",1,1935,8,4,1,0,0,23,6,5,26,5,5,5,1,2,2,0,0,0,10,.6085
0,"AT",0,1945,10,4,1,0,0,40,5,7,11,4,3,4,2,3,2,8,5.5,,8,.6085
0,"AT",0,1946,12,4,0,0,0,40,3,4,16,4,4,4,4,7,2,10,5,3,5,.3348
1,"AT",0,1958,14,4,0,0,0,80,2,5,7,3,6,6,7,7,3,4,3,0,1,1.0045
0,"AT",1,1924,8,4,0,0,0,0,7,5,15,1,1,1,1,4,1,4,.5,2,4,.3348
1,"AT",1,1967,13,4,1,1,0,60,4,6,13,5,4,6,1,2,2,7,5.5,6,3,1.0045
0,"AT",1,1966,9,4,1,1,0,48,2,4,9,1,1,1,3,5,2,4.5,1.5,3,2,1.3393
0,"AT",0,1941,8,4,1,1,0,0,5,5,19,6,6,6,4,6,3,5.5,6,3,6,1.0045
0,"AT",1,1935,11,4,1,0,0,,1,3,11,6,6,1,4,4,4,2.5,0,,5,.7971
0,"AT",0,1948,19,4,1,0,0,40,1,6,24,5,6,5,2,3,4,8,4.5,5,8,.7971
0,"AT",1,1927,12,4,0,0,0,,1,4,3,6,6,6,4,7,4,5.5,8,3,10,.3985
1,"AT",1,1962,18,4,0,1,0,45,2,7,16,5,6,6,1,2,2,7.5,5,4,7,.3985
1,"AT",1,1944,17,4,0,0,0,45,5,6,26,6,6,6,1,4,4,9,7.5,8,7,.3985
0,"AT",0,1927,10,4,0,0,0,38,5,3,9,6,6,6,2,6,4,6,6,4,9,.3985
0,"AT",1,1953,15,4,1,1,0,33,6,4,14,5,4,5,3,4,4,5.5,3.5,5,3,1.5943
1,"AT",0,1923,12,4,1,0,0,60,5,6,18,3,5,4,3,6,3,8,6.5,5,10,.7972
0,"AT",0,1929,13,4,0,0,0,44,6,5,26,5,6,6,2,5,3,8.5,7,5,7,.3986
1,"AT",0,1961,18,4,1,1,0,40,4,4,19,1,6,2,2,2,3,7,4.5,2,5,.7972
0,"AT",0,1926,13,4,0,0,0,40,7,6,28,5,5,5,2,5,2,9.5,8,6,7,.3986
1,"AT",1,1960,9,4,0,1,0,29,5,5,9,5,6,4,1,5,2,7,0,0,5,1.5943
0,"AT",0,1937,12,4,1,1,0,50,5,6,13,3,5,5,2,5,3,7.5,2.5,4,5,1.5943
1,"AT",1,1953,9,4,0,1,0,15,1,4,14,4,6,5,1,3,3,5.5,3,3,4,.7972
0,"AT",1,1941,8,3,1,1,0,27,6,5,3,6,6,6,0,2,1,4.5,0,0,0,1.0073
0,"AT",0,1947,14,3,1,1,0,50,2,5,18,5,5,4,2,4,4,8.5,4.5,,7,1.3431
1,"AT",0,1949,14,3,1,1,0,38,3,6,24,6,5,4,2,2,3,8.5,5,7,6,1.0073
0,"AT",0,1931,16,3,1,0,0,0,5,5,6,6,6,4,1,4,1,2.5,0,0,5,.6716
0,"AT",1,1926,,3,0,0,0,40,5,6,19,4,4,4,4,4,4,10,6,5,5,.3358
0,"AT",1,1984,15,3,0,0,0,,3,5,21,4,4,4,1,4,2,6.5,4.5,5,5,1.3431
0,"AT",1,1961,9,4,1,1,0,40,3,6,19,2,4,2,1,4,2,5,0,2,6,1.0042
1,"AT",0,1957,18,4,1,1,0,50,3,7,18,2,5,5,2,2,4,5.5,2.5,5,6,1.0042
1,"AT",1,1958,12,4,1,1,0,26,4,3,16,3,4,4,1,2,2,3,5,5,4,1.2553
1,"AT",0,1958,13,4,1,1,0,45,4,6,28,5,5,5,2,3,4,6.5,6,5,3,1.0042
1,"AT",0,1965,14,4,1,1,0,80,4,7,5,5,6,5,1,1,4,1,.5,1,1,1.2553
1,"AT",1,1970,17,4,1,1,0,38,5,6,15,6,4,4,2,2,4,8,6,4,6,.5021
1,"AT",1,1963,13,4,1,1,0,30,4,6,29,5,6,5,2,3,2,9.5,1.5,1,3,.7532
1,"AT",1,1968,13,3,,0,0,40,5,4,19,3,4,4,3,4,2,6.5,7,7,6,.4734
1,"AT",0,1977,14,2,0,0,0,24,2,4,17,5,5,4,2,2,3,9.5,5,8,7,.4734
0,"AT",1,1963,13,3,,0,0,45,6,5,20,2,3,3,3,4,1,7.5,8,8,6,.4734
1,"AT",0,1973,19,2,0,0,0,40,2,4,13,4,5,4,0,0,2,10,10,10,10,.4734
0,"AT",0,1975,18,2,0,0,0,34,5,6,9,4,6,4,7,7,2,10,8,10,10,.4734
0,"AT",1,1976,14,2,0,0,0,40,2,4,7,5,4,4,0,0,2,10,10,10,9,.4734
1,"AT",0,1960,14,2,0,0,0,40,,2,25,3,5,3,2,5,2,10,6,10,10,.4734
0,"AT",0,1943,10,3,1,0,0,45,2,5,24,3,5,5,4,7,3,7,5,2,6,.9469
0,"AT",0,1949,13,2,1,1,0,40,3,5,29,5,5,5,2,3,2,7.5,5,3,10,1.8938
0,"AT",0,1962,14,3,,0,0,40,2,6,24,4,4,4,2,3,3,7,4.5,,6,.4734
0,"AT",1,1970,12,3,0,0,0,40,2,5,18,4,5,4,2,5,3,9,7,7,5,.4734
0,"AT",0,1980,15,2,0,0,0,0,1,7,13,6,6,6,0,0,1,7,1,,,.9469
1,"AT",1,1980,12,3,0,0,0,38,2,7,18,6,6,6,1,3,1,7,1.5,3,5,.4734
0,"AT",1,1945,10,3,0,0,0,38,1,6,24,5,5,4,3,7,1,6,1.5,1,5,.4734
0,"AT",0,1925,,1,0,0,0,,3,1,9,6,4,6,2,5,1,6,1,1,1,.4734
1,"AT",1,1970,13,1,,1,0,20,3,6,23,4,4,5,2,2,2,5,3.5,4,5,.9469
0,"AT",1,1930,,1,1,0,0,0,3,1,8,6,4,6,1,7,1,9.5,4,5,5,.9469
1,"AT",1,1949,12,1,,1,0,40,4,6,23,4,4,5,1,2,2,4.5,3.5,4,5,.9469
0,"AT",0,1919,6,1,0,0,0,0,,1,11,1,5,1,,7,1,6.5,1,,,.4734
0,"AT",0,1959,8,1,,1,0,38,,6,20,5,5,5,1,2,1,4,2.5,3,3,.9469
1,"AT",1,1943,12,1,1,0,0,30,1,7,18,5,5,4,4,7,2,7,2,3,,.9469
0,"AT",0,1951,13,1,1,0,0,38,1,2,18,4,4,3,1,2,4,5,0,,5,.9469
0,"AT",1,1933,8,1,0,0,0,0,3,1,18,6,3,5,,7,1,10,2.5,2,5,.4734
1,"AT",0,1940,11,1,1,0,0,80,2,4,15,5,6,4,1,4,2,7,6,5,8,.9469
0,"AT",1,1973,17,3,0,0,0,,1,6,16,6,6,4,0,0,2,7.5,5,5,4,.9469
1,"AT",1,1944,10,3,1,0,0,50,2,4,17,5,5,5,3,5,3,4,1.5,3,5,.9469
